編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位,最後更新時間
284,稅捐稽徵局政府資訊公開資料  ,新竹縣政府稅捐稽徵局,新竹縣政府,新竹縣政府稅捐稽徵局,,,,,,2015/05/29 15:15
285,性別統計10401-03  ,人事處,新竹縣政府,人事處,,,,,,2017/09/11 09:31
286,新竹縣公眾區免費無線上網熱點資料  ,綜合發展處,新竹縣政府,綜合發展處,,,,,,2017/04/26 11:13
287,新竹縣旅遊_美食特產之旅  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2017/03/03 16:29
288,新竹縣旅遊_竹縣怎麼玩  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2017/03/03 16:29
289,新竹縣旅遊_特色樂活之旅  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2017/03/03 16:29
290,新竹縣旅遊_主題文化之旅  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2017/03/03 16:29
291,新竹縣家畜疾病防治所尋找走失動物清單  ,家畜疾病防治所,新竹縣政府,家畜疾病防治所,,,,,,2014/05/21 20:09
292,新竹縣測速執行地點  ,新竹縣政府警察局,新竹縣政府,新竹縣政府警察局,,,,,,2014/05/21 20:09
293,公廁資訊  ,新竹縣政府環境保護局,新竹縣政府,新竹縣政府環境保護局,,,,,,2014/05/21 20:08
294,新竹縣垃圾清運路線表  ,新竹縣政府環境保護局,新竹縣政府,新竹縣政府環境保護局,,,,,,2014/05/21 20:08
295,新竹縣機車定檢站  ,新竹縣政府環境保護局,新竹縣政府,新竹縣政府環境保護局,,,,,,2014/05/21 20:07
296,新竹縣長期照顧服務提供單位清單  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:58
297,申請聘僱外國人從事家庭看護工作之專業評估被看護者醫療機構  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:58
298,新竹縣各鄉鎮中醫診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:59
299,免費新生兒聽力篩選醫療院所名單  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/11/18 14:21
300,免費孕婦乙型鏈球菌檢查醫療院所名單  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/11/18 14:30
301,兒童衛教指導服務特約院所名單  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/11/18 14:24
302,新竹縣二代戒菸服務醫療院所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2014/05/21 18:26
303,新竹縣各鄉鎮市其他醫事機構名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:59
304,新竹縣衛生所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:59
305,新竹縣各鄉鎮市家醫及內科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:59
306,新竹縣各鄉鎮市血液透析科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:58
307,新竹縣各鄉鎮市皮膚科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:57
308,新竹縣各鄉鎮市眼科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:57
309,新竹縣各鄉鎮市復健及骨外科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:59
310,新竹縣各鄉鎮市婦產科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:59
311,新竹縣各鄉鎮市耳鼻喉科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:58
312,新竹縣各鄉鎮市小兒科診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:57
313,新竹縣牙醫診所名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:57
314,新竹縣護理之家、居家護理所資源清冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/06/15 11:57
315,新竹縣哺(集)乳室名冊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2015/11/18 14:23
316,藥局資訊  ,新竹縣政府衛生局,新竹縣政府,新竹縣政府衛生局,,,,,,2014/05/21 18:21
317,新竹縣各鄉鎮市災害應變中心電話  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2015/06/17 11:29
318,疏散避難圖  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/03/22 10:27
319,新竹縣消防安全檢查不合格場所清冊(105.12)  ,新竹縣政府消防局,新竹縣政府,新竹縣政府消防局,,,,,,2017/03/24 16:43
320,新竹縣土地段代碼  ,地政處,新竹縣政府,地政處,,,,,,2014/05/21 18:20
321,寺廟  ,民政處,新竹縣政府,民政處,,,,,,2014/05/21 13:39
322,下水道用戶排水設備承裝商管理資訊  ,工務處,新竹縣政府,工務處,,,,,,2014/05/21 13:39
323,新竹縣工會組織名冊  ,勞工處,新竹縣政府,勞工處,,,,,,2014/05/21 13:38
324,新竹縣私立就業服務機構名單  ,勞工處,新竹縣政府,勞工處,,,,,,2014/05/21 13:38
325,新竹縣社區大學  ,教育處,新竹縣政府,教育處,,,,,,2014/05/21 12:04
326,新竹縣公私立幼兒園名錄  ,教育處,新竹縣政府,教育處,,,,,,2014/05/21 12:03
327,新竹縣學校基本資料  ,教育處,新竹縣政府,教育處,,,,,,2014/05/21 12:03
328,商圈資料  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2015/06/09 10:12
329,新竹縣加油站名冊  ,國際產業發展處,新竹縣政府,國際產業發展處,,,,,,2015/06/15 11:35
330,新竹縣托嬰中心名冊  ,社會處,新竹縣政府,社會處,,,,,,2014/05/21 12:02
331,新竹縣辦理中低收入老人裝置假牙合約醫療院所名單  ,社會處,新竹縣政府,社會處,,,,,,2014/05/21 12:02
332,新竹縣身心障礙者復康巴士服務  ,社會處,新竹縣政府,社會處,,,,,,2014/05/21 12:01
333,新竹縣私立老人福利機構名冊  ,社會處,新竹縣政府,社會處,,,,,,2014/05/21 12:01
334,新竹縣路外停車場資料  ,交通旅遊處,新竹縣政府,交通旅遊處,,,,,,2018/01/25 14:52
335,新竹縣政府各機關電話、地址  ,人事處,新竹縣政府,人事處,,,,,,2017/05/01 08:54
