編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,第三層級,資料量,下載次數,瀏覽次數,主要欄位
524,新住民學習中心網-活動剪影-影音專區,嘉義縣政府,嘉義縣政府,,,,13,172,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
525,新住民學習中心網-中心簡介-場館設置,嘉義縣政府,嘉義縣政府,,,,18,182,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
526,新住民學習中心網-年度計畫-新住民,嘉義縣政府,嘉義縣政府,,,,17,179,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
527,新住民學習中心網-年度計畫-成人教育,嘉義縣政府,嘉義縣政府,,,,13,172,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
528,新住民學習中心網-學力鑑定專區-鑑定考試簡章,嘉義縣政府,嘉義縣政府,,,,14,175,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
529,新住民學習中心網-學力鑑定專區-考古題,嘉義縣政府,嘉義縣政府,,,,22,168,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
530,新住民學習中心網-中心刊物,嘉義縣政府,嘉義縣政府,,,,16,185,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
531,新住民學習中心網-開班訊息-生活適應班,嘉義縣政府,嘉義縣政府,,,,16,165,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
532,新住民學習中心網-開班訊息-多元文化學習班,嘉義縣政府,嘉義縣政府,,,,18,195,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
533,新住民學習中心網-開班訊息-成人教育班,嘉義縣政府,嘉義縣政府,,,,21,184,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
534,嘉義縣合法民宿基本資料(截至105年10月21日),嘉義縣政府,嘉義縣政府,,,,,,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
535,(截至105年10月31日),嘉義縣文化觀光局,嘉義縣政府,文化觀光局,,,,,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
536,嘉義縣合法民宿基本資料(截至105年10月31日),嘉義縣文化觀光局,嘉義縣政府,文化觀光局,,,,,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
540,嘉義縣公費克流感合約醫療院所,嘉義縣政府,嘉義縣政府,,,,,,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
541,嘉義縣太保市168藝術綠廊計畫規劃設計案期末報告書(草案),嘉義縣政府,嘉義縣政府,,,,26,243,嘉義縣太保市168藝術綠廊計畫規劃設計案期末報告書(草案)
542,嘉義縣水上地政事務所-線上申辦,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,16,132,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
543,嘉義縣水上地政事務所-公告資訊-最新消息,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,12,233,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
544,嘉義縣水上地政事務所-公告資訊-機關公告-書狀補給、建物及土地第一次登記,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,15,187,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
545,嘉義縣水上地政事務所-公告資訊-機關公告-地籍清理結果公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,14,182,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
546,嘉義縣水上地政事務所-公告資訊-機關公告-逾期未辦繼承公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,13,215,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
547,嘉義縣水上地政事務所-公告資訊-機關公告-地價公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,18,162,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
548,嘉義縣水上地政事務所-公告資訊-機關公告-其他公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,12,125,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
549,嘉義縣水上地政事務所-公告資訊-招標公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,14,170,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
550,嘉義縣水上地政事務所-公告資訊-機關徵才,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,14,132,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
551,嘉義縣水上地政事務所-公告資訊-youtube影片專區,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,12,134,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
552,嘉義縣水上地政事務所-公告資訊-活動花絮,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,16,130,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
553,嘉義縣水上地政事務所-便民服務-線上書表-繼承系統表,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,11,195,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
554,嘉義縣水上地政事務所-便民服務-線上書表-登記申請書,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,9,147,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
555,嘉義縣水上地政事務所_登記案件線上填寫,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,,,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
556,嘉義縣水上地政事務所_測量案件線上填寫,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,,,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
557,嘉義縣水上地政事務所-便民服務-申請須知-登記及測量案件申辦須知,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,11,150,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
558,嘉義縣水上地政事務所-便民服務-檔案應用,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,12,156,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
559,嘉義縣水上地政事務所-便民服務-便民措施,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,11,167,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
560,嘉義縣水上地政事務所-便民服務-登記業務介紹-地籍清理,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,9,242,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
561,嘉義縣水上地政事務所_祭祀公業,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,19,185,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
562,嘉義縣水上地政事務所-便民服務-測量業務介紹-地籍圖重測,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,19,476,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
563,嘉義縣水上地政事務所-便民服務-地用業務介紹-更正編定標準作業流程圖,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,16,147,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
564,嘉義縣水上地政事務所-便民服務-志工園地,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,12,165,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
565,嘉義縣水上地政事務所-線上查詢-公告查詢-公告查詢,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,18,157,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
566,嘉義縣水上地政事務所-線上查詢-公告查詢-土地第一次登記,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,20,221,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
567,嘉義縣水上地政事務所-線上查詢-公告查詢-書狀補給公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,15,138,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
568,嘉義縣水上地政事務所-線上查詢-公告查詢-書狀註銷公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,12,128,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
569,嘉義縣水上地政事務所-線上查詢-公告查詢-撤銷書狀公告,嘉義縣水上地政事務所,嘉義縣政府,水上地政事務所,,,15,170,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位"
